DISTRITO;LATITUD;LONGITUD
Centro;40.41831;-3.70275
Arganzuela;40.40021;-3.69618
Retiro;40.41317 ;-3.68307
Salamanca;40.42972 ;-3.67975
Chamartín;40.46206;-3.6766
Tetuan;40.45975;-3.6975
Chamberi;40.43404;-3.70379
Fuencarral-El Pardo;40.4984 ;-3.7314
Moncloa-Aravaca;40.43547;-3.7317
Latina;40.38897;-3.74569
Carabanchel;40.39094;-3.7242
Usera;40.38866;-3.70035
Puente De Vallecas;40.39354 ;-3.662
Moratalaz;40.40742 ;-3.664935
Ciudad Lineal;40.44505 ;-3.65132
Hortaleza;40.47444;-3.6411
Villaverde;40.35;-3.7
Villa de Vallecas;40.374;-3.6122
Vicalvaro;40.394 ;-3.60288
San Blas-Canillejas;40.43893 ;-3.61537
Barajas;40.4736600;-3.5777700
